i x0 x1 x2 result
1 -10.000000 -10.000000 0.0 4.53958e-05
2 -10.000000 -10.000000 0.0 4.53958e-05
3 -10.000000 -10.000000 0.0 4.53958e-05
4 -10.000000 -10.000000 0.0 4.53958e-05
5 -10.000000 -10.000000 0.0 4.53958e-05
6 -10.000000 -10.000000 0.0 4.53958e-05
7 -10.000000 -10.000000 0.0 4.53958e-05
8 -10.000000 -10.000000 0.0 4.53958e-05
9 -10.000000 -10.000000 0.0 4.53958e-05
10 -10.000000 -10.000000 0.0 4.53958e-05
1 -10.000000 -9.500000 0.0 4.53944e-05
2 -10.000000 -9.500000 0.0 4.53945e-05
3 -10.000000 -9.500000 0.0 4.53944e-05
4 -10.000000 -9.500000 0.0 4.53945e-05
5 -10.000000 -9.500000 0.0 4.53945e-05
6 -10.000000 -9.500000 0.0 4.53944e-05
7 -10.000000 -9.500000 0.0 4.53945e-05
8 -10.000000 -9.500000 0.0 4.53944e-05
9 -10.000000 -9.500000 0.0 4.53945e-05
10 -10.000000 -9.500000 0.0 4.53945e-05
1 -10.000000 -9.000000 0.0 4.53922e-05
2 -10.000000 -9.000000 0.0 4.53923e-05
3 -10.000000 -9.000000 0.0 4.53923e-05
4 -10.000000 -9.000000 0.0 4.53923e-05
5 -10.000000 -9.000000 0.0 4.53922e-05
6 -10.000000 -9.000000 0.0 4.53922e-05
7 -10.000000 -9.000000 0.0 4.53923e-05
8 -10.000000 -9.000000 0.0 4.53923e-05
9 -10.000000 -9.000000 0.0 4.53923e-05
10 -10.000000 -9.000000 0.0 4.53923e-05
1 -10.000000 -8.500000 0.0 4.53886e-05
2 -10.000000 -8.500000 0.0 4.53886e-05
3 -10.000000 -8.500000 0.0 4.53886e-05
4 -10.000000 -8.500000 0.0 4.53886e-05
5 -10.000000 -8.500000 0.0 4.53886e-05
6 -10.000000 -8.500000 0.0 4.53886e-05
7 -10.000000 -8.500000 0.0 4.53886e-05
8 -10.000000 -8.500000 0.0 4.53886e-05
9 -10.000000 -8.500000 0.0 4.53886e-05
10 -10.000000 -8.500000 0.0 4.53886e-05
1 -10.000000 -8.000000 0.0 4.53826e-05
2 -10.000000 -8.000000 0.0 4.53826e-05
3 -10.000000 -8.000000 0.0 4.53826e-05
4 -10.000000 -8.000000 0.0 4.53826e-05
5 -10.000000 -8.000000 0.0 4.53826e-05
6 -10.000000 -8.000000 0.0 4.53826e-05
7 -10.000000 -8.000000 0.0 4.53827e-05
8 -10.000000 -8.000000 0.0 4.53827e-05
9 -10.000000 -8.000000 0.0 4.53827e-05
10 -10.000000 -8.000000 0.0 4.53827e-05
1 -10.000000 -7.500000 0.0 4.53728e-05
2 -10.000000 -7.500000 0.0 4.53728e-05
3 -10.000000 -7.500000 0.0 4.53728e-05
4 -10.000000 -7.500000 0.0 4.53728e-05
5 -10.000000 -7.500000 0.0 4.53728e-05
6 -10.000000 -7.500000 0.0 4.53728e-05
7 -10.000000 -7.500000 0.0 4.53728e-05
8 -10.000000 -7.500000 0.0 4.53728e-05
9 -10.000000 -7.500000 0.0 4.53728e-05
10 -10.000000 -7.500000 0.0 4.53728e-05
1 -10.000000 -7.000000 0.0 4.53565e-05
2 -10.000000 -7.000000 0.0 4.53565e-05
3 -10.000000 -7.000000 0.0 4.53565e-05
4 -10.000000 -7.000000 0.0 4.53565e-05
5 -10.000000 -7.000000 0.0 4.53565e-05
6 -10.000000 -7.000000 0.0 4.53566e-05
7 -10.000000 -7.000000 0.0 4.53565e-05
8 -10.000000 -7.000000 0.0 4.53565e-05
9 -10.000000 -7.000000 0.0 4.53565e-05
10 -10.000000 -7.000000 0.0 4.53565e-05
1 -10.000000 -6.500000 0.0 4.53298e-05
2 -10.000000 -6.500000 0.0 4.53297e-05
3 -10.000000 -6.500000 0.0 4.53297e-05
4 -10.000000 -6.500000 0.0 4.53297e-05
5 -10.000000 -6.500000 0.0 4.53297e-05
6 -10.000000 -6.500000 0.0 4.53298e-05
7 -10.000000 -6.500000 0.0 4.53297e-05
8 -10.000000 -6.500000 0.0 4.53297e-05
9 -10.000000 -6.500000 0.0 4.53297e-05
10 -10.000000 -6.500000 0.0 4.53297e-05
1 -10.000000 -6.000000 0.0 4.52856e-05
