i x0 x1 x2 result
1 -10.000000 0.0 0.0 2.26994e-05
2 -10.000000 0.0 0.0 2.26994e-05
3 -10.000000 0.0 0.0 2.26994e-05
4 -10.000000 0.0 0.0 2.26994e-05
5 -10.000000 0.0 0.0 2.26994e-05
6 -10.000000 0.0 0.0 2.26994e-05
7 -10.000000 0.0 0.0 2.26994e-05
8 -10.000000 0.0 0.0 2.26994e-05
9 -10.000000 0.0 0.0 2.26994e-05
10 -10.000000 0.0 0.0 2.26994e-05
1 -9.500000 0.0 0.0 3.74245e-05
2 -9.500000 0.0 0.0 3.74245e-05
3 -9.500000 0.0 0.0 3.74245e-05
4 -9.500000 0.0 0.0 3.74245e-05
5 -9.500000 0.0 0.0 3.74245e-05
6 -9.500000 0.0 0.0 3.74245e-05
7 -9.500000 0.0 0.0 3.74245e-05
8 -9.500000 0.0 0.0 3.74245e-05
9 -9.500000 0.0 0.0 3.74245e-05
10 -9.500000 0.0 0.0 3.74245e-05
1 -9.000000 0.0 0.0 6.17011e-05
2 -9.000000 0.0 0.0 6.17011e-05
3 -9.000000 0.0 0.0 6.17011e-05
4 -9.000000 0.0 0.0 6.17011e-05
5 -9.000000 0.0 0.0 6.17011e-05
6 -9.000000 0.0 0.0 6.17011e-05
7 -9.000000 0.0 0.0 6.17011e-05
8 -9.000000 0.0 0.0 6.17011e-05
9 -9.000000 0.0 0.0 6.17011e-05
10 -9.000000 0.0 0.0 6.17011e-05
1 -8.500000 0.0 0.0 0.000101724
2 -8.500000 0.0 0.0 0.000101724
3 -8.500000 0.0 0.0 0.000101724
4 -8.500000 0.0 0.0 0.000101724
5 -8.500000 0.0 0.0 0.000101724
6 -8.500000 0.0 0.0 0.000101724
7 -8.500000 0.0 0.0 0.000101724
8 -8.500000 0.0 0.0 0.000101724
9 -8.500000 0.0 0.0 0.000101724
10 -8.500000 0.0 0.0 0.000101724
1 -8.000000 0.0 0.0 0.000167703
2 -8.000000 0.0 0.0 0.000167703
3 -8.000000 0.0 0.0 0.000167703
4 -8.000000 0.0 0.0 0.000167703
5 -8.000000 0.0 0.0 0.000167703
6 -8.000000 0.0 0.0 0.000167703
7 -8.000000 0.0 0.0 0.000167703
8 -8.000000 0.0 0.0 0.000167703
